branch	sha12	reason
task/iter-094-batch-c94	1e38b6b2aa13	exploration-pruned-keep10
task/iter-094-batch-c94-fix	d312a83394fd	exploration-pruned-keep10
task/iter-094-batch-c94-fix-d1	908185d072d2	exploration-pruned-keep10
task/iter-094-batch-c94-fix-d1-d2	949564cb8537	merged-into-main
task/iter-095-batch-c95	64b210c3ce6a	exploration-pruned-keep10
task/iter-095-batch-c95-fix	9e4e656b8b77	exploration-pruned-keep10
task/iter-095-batch-c95-fix-d1	36592aad6740	ledger-stale
task/iter-095-batch-c95-fix-d1-dual	93548827d30a	ledger-stale
task/iter-096-batch-c96	12fe022db812	merged-into-main
task/iter-097-batch-c97	2fdc5ace4582	exploration-pruned-keep10
task/iter-097-batch-c97-fix	b7e99f232faa	ledger-stale
task/iter-097-batch-c97-fix-dual	8538a900ef26	ledger-stale
task/iter-098-batch-c98	b7ae33bf6431	exploration-pruned-keep10
task/iter-098-batch-c98-fix	928da2cd6fa6	exploration-pruned-keep10
task/iter-098-batch-c98-fix-d1	d3a4b62f7536	merged-into-main
task/iter-099-batch-c99	3b59380d3b04	exploration-pruned-keep10
task/iter-099-batch-c99-fix	6d2f7d60db57	exploration-pruned-keep10
task/iter-099-batch-c99-fix-d1	f4f2d94932d5	ledger-stale
task/iter-099-batch-c99-fix-d1-dual	9c680707e12b	exploration-pruned-keep10
task/iter-100-batch-c100	85c1a4b6b6af	ledger-superseded
task/iter-100-batch-c100-dual	ab01ee495245	exploration-pruned-keep10
task/iter-101-batch-c101	2032db694be0	exploration-pruned-keep10
task/iter-101-batch-c101-fix	326e9cb663d1	exploration-pruned-keep10
task/iter-101-batch-c101-fix-d1	72590d1506e0	exploration-pruned-keep10
task/iter-101-batch-c101-fix-d1-d2	c101f9cb0c7d	merged-into-main
task/iter-102-batch-c102	98ecf80b3cb1	exploration-pruned-keep10
task/iter-102-batch-c102-fix	0bae4d641015	exploration-pruned-keep10
task/iter-102-batch-c102-fix-d1	3e61306da495	merged-into-main
task/iter-103-batch-c103	d570154729d3	ledger-stale
task/iter-103-batch-c103-dual	2ef6e013ab10	ledger-stale
task/iter-104-batch-c104	a784f7147868	exploration-pruned-keep10
task/iter-104-batch-c104-fix	7731ee1f14da	exploration-pruned-keep10
task/iter-104-batch-c104-fix-d1	7c9b57952ec1	exploration-pruned-keep10
task/iter-105-batch-c105	4f6ada59a500	exploration-pruned-keep10
task/iter-105-batch-c105-fix	0913567efb43	exploration-pruned-keep10
task/iter-105-batch-c105-fix-d1	3856d275ca9a	exploration-pruned-keep10
task/iter-105-batch-c105-fix-d1-d2	c7c87fffc12e	exploration-pruned-keep10
task/iter-106-batch-c106	9ef6f7a8b71b	merged-into-main
